"民法（’１７）", "2019年度2学期（52.6点）", "2019年度1学期（62.6点）", "コース科目", "専門科目", "社会と産業",
"刑事法（’１６）", "2019年度2学期（82.4点）", "2019年度1学期（80.2点）", "コース科目", "専門科目", "社会と産業",
"暮らしに役立つバイオサイエンス（’１５）", "2019年度2学期（89.1点）", "2019年度1学期（87.5点）", "コース科目", "総合科目", "",
"日本政治思想史（’１７）", "2019年度2学期（67点）", "2019年度1学期（68.7点）", "コース科目", "専門科目", "社会と産業",
"家族と高齢社会の法（’１７）", "2019年度2学期（86.4点）", "2019年度1学期（85.6点）", "コース科目", "専門科目", "社会と産業",
"雇用社会と法（’１７）", "2019年度2学期（90.9点）", "2019年度1学期（87.9点）", "コース科目", "専門科目", "社会と産業",
"現代の会計（’２０）", nil, nil, "コース科目", "導入科目", "社会と産業",
"日本語学入門（’２０）", nil, nil, "コース科目", "導入科目", "人間と文化",
"生活経済学（’２０）", nil, nil, "コース科目", "導入科目", "生活と福祉",
"教育・学校心理学（’２０）", nil, nil, "コース科目", "導入科目", "心理と教育",
"アルゴリズムとプログラミング（’２０）", nil, nil, "コース科目", "専門科目", "情報",
"コンピュータ通信概論（’２０）", nil, nil, "コース科目", "専門科目", "情報",
"情報化社会におけるメディア教育（’２０）", nil, nil, "コース科目", "専門科目", "情報",
"身近なネットワークサービス（’２０）", nil, nil, "コース科目", "専門科目", "情報",
"ユーザ調査法（’２０）", nil, nil, "コース科目", "専門科目", "情報",
"死生学のフィールド（’１８）", "2019年度2学期（84点）", "2019年度1学期（86.9点）", "コース科目", "総合科目", "生活と福祉",
"ダイナミックな地球（’１６）", "2019年度2学期（70.6点）", "2019年度1学期（72.6点）", "コース科目", "導入科目", "自然と環境",
"レジリエンスの諸相（’１８）", "2019年度2学期（88.8点）", "2019年度1学期（82.9点）", "コース科目", "総合科目", "生活と福祉",
"戦後日本教育史（’１８）", "2019年度2学期（76.2点）", "2019年度1学期（75.8点）", "コース科目", "導入科目", "心理と教育",
"入門微分積分（’１６）", "2019年度2学期（59.9点）", "2019年度1学期（57.2点）", "コース科目", "導入科目", "自然と環境",
"経営情報学入門（’１９）", "2019年度2学期（67.6点）", "2019年度1学期（73.2点）", "コース科目", "専門科目", "社会と産業",
"特別支援教育総論（’１９）", "2019年度2学期（86.3点）", "2019年度1学期（94点）", "コース科目", "専門科目", "心理と教育",
"社会統計学入門（’１８）", "2019年度2学期（59.3点）", "2019年度1学期（61.2点）", "コース科目", "導入科目", "社会と産業",
"危機の心理学（’１７）", "2019年度2学期（81点）", "2019年度1学期（80.3点）", "コース科目", "専門科目", "心理と教育",
"生理心理学（’１８）", "2019年度2学期（72.4点）", "2019年度1学期（75.7点）", "コース科目", "専門科目", "心理と教育",
"量子と統計の物理（’１５）", "2019年度2学期（68.8点）", "2019年度1学期（70.3点）", "コース科目", "専門科目", "自然と環境",
"心理統計法（’１７）", "2019年度2学期（74.6点）", "2019年度1学期（76.2点）", "コース科目", "専門科目", "心理と教育",
"心理学概論（’１８）", "2019年度2学期（70.1点）", "2019年度1学期（67.8点）", "コース科目", "導入科目", "心理と教育",
"生物の進化と多様化の科学（’１７）", "2019年度2学期（71.8点）", "2019年度1学期（75.4点）", "コース科目", "専門科目", "自然と環境",
"交通心理学（’１７）", "2019年度2学期（74.6点）", "2019年度1学期（82.1点）", "コース科目", "専門科目", "心理と教育",
"心理と教育へのいざない（’１８）", "2019年度2学期（83.1点）", "2019年度1学期（75.9点）", "コース科目", "導入科目", "心理と教育",
"現代の家庭教育（’１８）", "2019年度2学期（80.3点）", "2019年度1学期（78.1点）", "コース科目", "専門科目", "心理と教育",
"動物の科学（’１５）", "2019年度2学期（73.3点）", "2019年度1学期（75.4点）", "コース科目", "専門科目", "自然と環境",
"エントロピーからはじめる熱力学（’２０）", nil, nil, "コース科目", "専門科目", "自然と環境",
"比較認知科学（’１７）", "2019年度2学期（75.9点）", "2019年度1学期（69.6点）", "コース科目", "専門科目", "心理と教育",
"地域コミュニティと教育（’１８）", "2019年度2学期（92.3点）", "2019年度1学期（92.9点）", "コース科目", "専門科目", "心理と教育",
"植物の科学（’１５）", "2019年度2学期（69.2点）", "2019年度1学期（69.8点）", "コース科目", "専門科目", "自然と環境",
"データの分析と知識発見（’２０）", nil, nil, "コース科目", "専門科目", "情報",
"情報技術が拓く人間理解（’２０）", nil, nil, "コース科目", "総合科目", "情報",
"新時代の組織経営と働き方（’２０）", nil, nil, "コース科目", "総合科目", "社会と産業",
"ＡＩシステムと人・社会との関係（’２０）", nil, nil, "コース科目", "総合科目", "情報",
"社会福祉と法（’２０）", nil, nil, "コース科目", "総合科目", "生活と福祉",
"開発経済学：アジアの農村から（’２０）", nil, nil, "コース科目", "総合科目", "社会と産業",
"都市と地域の社会学（’１８）", "2019年度2学期（69.8点）", "2019年度1学期（74.5点）", "コース科目", "専門科目", "社会と産業",
"化学反応論－分子の変化と機能（’１７）", "2019年度2学期（60.6点）", "2019年度1学期（63.4点）", "コース科目", "専門科目", "自然と環境",
"心理カウンセリング序説（’１５）", "2019年度2学期（78.7点）", "2019年度1学期（72.9点）", "コース科目", "専門科目", "心理と教育",
"経営学概論（’１８）", "2019年度2学期（73.4点）", "2019年度1学期（65.7点）", "コース科目", "導入科目", "社会と産業",
"グローバル経済史（’１８）", "2019年度2学期（79.4点）", "2019年度1学期（71.9点）", "コース科目", "専門科目", "社会と産業",
"精神分析とユング心理学（’１７）", "2019年度2学期（75.1点）", "2019年度1学期（76.3点）", "コース科目", "専門科目", "心理と教育",
"都市と農山村からみる身近な経済（’１８）", "2019年度2学期（73.2点）", "2019年度1学期（75点）", "コース科目", "専門科目", "社会と産業",
"法学入門（’１８）", "2019年度2学期（62.7点）", "2019年度1学期（57.6点）", "コース科目", "導入科目", "社会と産業",
"色と形を探究する（’１７）", "2019年度2学期（62.8点）", "2019年度1学期（67.7点）", "コース科目", "総合科目", "心理と教育",
"線型代数学（’１７）", "2019年度2学期（76点）", "2019年度1学期（80.4点）", "コース科目", "専門科目", "自然と環境",
"管理会計（’１８）", "2019年度2学期（74.1点）", "2019年度1学期（66.2点）", "コース科目", "専門科目", "社会と産業",
"行政法（’１８）", "2019年度2学期（60.1点）", "2019年度1学期（61.1点）", "コース科目", "専門科目", "社会と産業",
"心理臨床と身体の病（’１６）", "2019年度2学期（75.3点）", "2019年度1学期（79.8点）", "コース科目", "専門科目", "心理と教育",
"非ユークリッド幾何と時空（’１５）", "2019年度2学期（65.2点）", "2019年度1学期（53.6点）", "コース科目", "専門科目", "自然と環境",
"市民生活と裁判（’１８）", "2019年度2学期（85.3点）", "2019年度1学期（86.9点）", "コース科目", "専門科目", "社会と産業",
"心理臨床とイメージ（’１６）", "2019年度2学期（75.5点）", "2019年度1学期（76.6点）", "コース科目", "専門科目", "心理と教育",
